primary;category
equestrian_facility;Recreational, Outdoors
public_utility_company;Others / Not sure
appliance_manufacturer;Others / Not sure
pest_control_service;Others / Not sure
driving_range;Recreational, Outdoors
political_party_office;Social, Cultural
disc_golf_course;Recreational, Outdoors
farm;Recreational, Outdoors
currency_exchange;Shopping, Errands
inspection_services;Others / Not sure
used_vintage_and_consignment;Shopping, Errands
medical_supply;Shopping, Errands
chiropractor;Healthcare and Health
fabric_store;Shopping, Errands
bike_repair_maintenance;Shopping, Errands
meditation_center;Social, Cultural
medical_service_organizations;Healthcare and Health
water_treatment_equipment_and_services;Others / Not sure
butcher_shop;Shopping, Errands
doner_kebab;Social, Cultural
zoo;Recreational, Outdoors
medical_research_and_development;Others / Not sure
circus;Social, Cultural
security_systems;Others / Not sure
greek_restaurant;Social, Cultural
audiovisual_equipment_rental;Shopping, Errands
occupational_therapy;Healthcare and Health
electrical_supply_store;Shopping, Errands
pop_up_shop;Shopping, Errands
rental_services;Others / Not sure
race_track;Recreational, Outdoors
masonry_concrete;Others / Not sure
planetarium;Social, Cultural
energy_equipment_and_solution;Others / Not sure
kids_recreation_and_party;Recreational, Outdoors
apartments;Others / Not sure
fishmonger;Shopping, Errands
food;Shopping, Errands
kitchen_supply_store;Shopping, Errands
installment_loans;Shopping, Errands
korean_restaurant;Social, Cultural
ferry_boat_company;Others / Not sure
pharmaceutical_companies;Others / Not sure
public_school;Education
wildlife_sanctuary;Recreational, Outdoors
corporate_office;Others / Not sure
prenatal_perinatal_care;Healthcare and Health
pet_boarding;Others / Not sure
tanning_salon;Recreational, Outdoors
landscape_architect;Others / Not sure
fire_protection_service;Others / Not sure
linen;Shopping, Errands
resort;Recreational, Outdoors
lingerie_store;Shopping, Errands
screen_printing_t_shirt_printing;Others / Not sure
sign_making;Others / Not sure
restaurant_equipment_and_supply;Others / Not sure
party_and_event_planning;Social, Cultural
furniture_manufacturers;Others / Not sure
garbage_collection_service;Others / Not sure
business;Others / Not sure
food_delivery_service;Social, Cultural
ski_and_snowboard_shop;Shopping, Errands
game_publisher;Others / Not sure
lumber_store;Shopping, Errands
dry_cleaning;Shopping, Errands
farmers_market;Shopping, Errands
salad_bar;Social, Cultural
passport_and_visa_services;Others / Not sure
chocolatier;Shopping, Errands
animal_shelter;Social, Cultural
performing_arts;Social, Cultural
french_restaurant;Social, Cultural
travel_company;Recreational, Outdoors
mediterranean_restaurant;Social, Cultural
jazz_and_blues;Social, Cultural
divorce_and_family_law;Others / Not sure
fountain;Recreational, Outdoors
fruits_and_vegetables;Shopping, Errands
choir;Social, Cultural
appliance_repair_service;Others / Not sure
machine_shop;Others / Not sure
security_services;Others / Not sure
speech_therapist;Healthcare and Health
pawn_shop;Shopping, Errands
jewelry_and_watches_manufacturer;Others / Not sure
sand_and_gravel_supplier;Others / Not sure
prosthodontist;Healthcare and Health
soup_restaurant;Social, Cultural
pool_cleaning;Others / Not sure
agricultural_service;Others / Not sure
adult_entertainment;Social, Cultural
wedding_planning;Social, Cultural
irish_pub;Social, Cultural
